시군명,정류소명,정류소영문명,정류소id,정류소번호,중앙차로여부,관할관청,위치,WGS84위도,WGS84경도
평택시,해창,Yulpo-ri,214001746,15300,노변정류장,경기도 평택시,경기도 평택시 고덕면,37.0451833000,127.0098833000
평택시,해창1리,Haechang 1-ri ,214000035,15289,노변정류장,경기도 평택시,경기도 평택시 고덕면,37.0397833000,127.0096667000
평택시,해창3.4리,Haechang 3 & 4-ri,214000033,15324,노변정류장,경기도 평택시,경기도 평택시 고덕면,37.0273000000,127.0191833000
평택시,해창3.4리,Haechang 3 & 4-ri,214000829,15325,노변정류장,경기도 평택시,경기도 평택시 고덕면,37.0272000000,127.0194000000
평택시,해창5리,Haechang 5-ri ,214001041,15339,노변정류장,경기도 평택시,경기도 평택시 고덕면,37.0210333000,127.0216167000
평택시,해창5리,Haechang 5-ri,214000032,15334,노변정류장,경기도 평택시,경기도 평택시 고덕면,37.0208167000,127.0215333000
평택시,해창교,Haechanggyo Bridge,214001281,48691,노변정류장,경기도 평택시,경기도 평택시 고덕면,37.0189833000,127.0220833000
평택시,해창리(경유),,277102056,,,,,37.0389667000,127.0067667000
평택시,향교아파트,Hyanggyo Apartment,214000404,15491,노변정류장,경기도 평택시,경기도 평택시 팽성읍,36.9644000000,127.0558833000
평택시,향교아파트,Hyanggyo Apartment ,214000398,15493,노변정류장,경기도 평택시,경기도 평택시 팽성읍,36.9642833000,127.0558333000
평택시,현곡3리,Hyeongok 3-ri ,214001789,48772,노변정류장,경기도 평택시,경기도 평택시 청북면,37.0482333000,126.9417333000
평택시,현곡3리,Hyeongok 3-ri ,214001788,48771,노변정류장,경기도 평택시,경기도 평택시 청북면,37.0483500000,126.9415833000
평택시,현곡4리,Hyeongok 4-ri ,214001787,48770,노변정류장,경기도 평택시,경기도 평택시 청북면,37.0520000000,126.9480500000
평택시,현곡4리,Hyeongok 4-ri ,214001786,48769,노변정류장,경기도 평택시,경기도 평택시 청북면,37.0521167000,126.9478333000
평택시,현곡단지,Hyeongok Complex,214001488,48525,노변정류장,경기도 평택시,경기도 평택시 청북면,37.0358333000,126.9463167000
평택시,현곡단지,Hyeongok Complex,214001487,48521,노변정류장,경기도 평택시,경기도 평택시 청북면,37.0357333000,126.9460500000
평택시,현대모비스,Hyundai Mobis,214001546,48696,노변정류장,경기도 평택시,경기도 평택시 포승읍,36.9791500000,126.8458167000
평택시,현대모비스사거리,Hyundai Mobis Sageori,214001457,48400,노변정류장,경기도 평택시,경기도 평택시 포승읍,36.9807167000,126.8476833000
평택시,현대모비스사거리,Hyundai Mobis Sageori,214000061,48106,노변정류장,경기도 평택시,경기도 평택시 포승읍,36.9796833000,126.8479000000
평택시,현대상가,Hyundai Shopping Center,214000338,15501,노변정류장,경기도 평택시,경기도 평택시 서정동,37.0704667000,127.0572833000
평택시,현대상가,Hyundai Shopping Mall,214000339,15506,노변정류장,경기도 평택시,경기도 평택시 서정동,37.0708167000,127.0576000000
평택시,현대아이파크.팽성국제교류센터,"Hyundai I-Park Apartment, Pyeongtaek International Exchange Center",214000765,48298,노변정류장,경기도 평택시,경기도 평택시 팽성읍,36.9622333000,127.0558167000
평택시,현대주유소,Hyundai Gas Station ,214001026,48171,노변정류장,경기도 평택시,경기도 평택시 포승읍,36.9861333000,126.8602000000
평택시,현덕면사무소,Hyeondeok-myeon Office,214000135,15141,노변정류장,경기도 평택시,경기도 평택시 현덕면,36.9672833000,126.9202667000
평택시,현덕면사무소,Hyeondeok-myeon Office,214001385,48429,노변정류장,경기도 평택시,경기도 평택시 현덕면,36.9673167000,126.9201333000
평택시,현덕초교,Hyunduk Elementary School ,214000929,48286,노변정류장,경기도 평택시,경기도 평택시 현덕면,36.9655000000,126.9193333000
평택시,현덕초교,Hyunduk Elementary School ,214000928,48287,노변정류장,경기도 평택시,경기도 평택시 현덕면,36.9655833000,126.9194333000
평택시,현덕파출소,Hyundeok Police Box ,214000145,15139,노변정류장,경기도 평택시,경기도 평택시 현덕면,36.9657500000,126.9189167000
평택시,현일초교,Hyunil Elementary School,214000113,15143,노변정류장,경기도 평택시,경기도 평택시 안중읍,36.9862000000,126.9208167000
평택시,현촌교회.현촌3길입구,"Hyeonchon Church, Hyeonchon 3-gil ",214001641,48704,노변정류장,경기도 평택시,경기도 평택시 용이동,37.0025167000,127.1342333000
평택시,현촌교회.현촌3길입구,"Hyeonchon Church, Hyeonchon 3-gil",214001636,48699,노변정류장,경기도 평택시,경기도 평택시 용이동,37.0023500000,127.1340167000
평택시,현촌근린공원,Hyeonchon Neighborhood Park,214001669,48715,노변정류장,경기도 평택시,경기도 평택시 용이동,36.9992000000,127.1316167000
평택시,현촌근린공원,Hyeonchon Neighborhood Park,214001666,48712,노변정류장,경기도 평택시,경기도 평택시 용이동,36.9990833000,127.1315333000
평택시,현촌문화공원,Hyeonchon Cultural Park,214001668,48714,노변정류장,경기도 평택시,경기도 평택시 용이동,36.9977000000,127.1341833000
평택시,현촌문화공원,Hyeonchon Cultural Park,214001667,48713,노변정류장,경기도 평택시,경기도 평택시 용이동,36.9990000000,127.1344500000
평택시,현촌초교앞,Hyeonchon Elementary School,214001639,48702,노변정류장,경기도 평택시,경기도 평택시 안중읍,37.0007833000,127.1318833000
평택시,현충탑입구,Chunghon Tower,214001828,48811,노변정류장,경기도 평택시,경기도 평택시 서정동,37.0655333000,127.0612333000
평택시,현충탑입구,Chunghon Tower,214001829,48812,노변정류장,경기도 평택시,경기도 평택시 서정동,37.0657667000,127.0612500000
평택시,현화고교사거리,Hyeonhwa High School Sageori ,214001326,48423,노변정류장,경기도 평택시,경기도 평택시 안중읍,36.9797333000,126.9214167000
평택시,현화고교사거리,Hyeonhwa High School Sageori,214001448,48468,노변정류장,경기도 평택시,경기도 평택시 안중읍,36.9792000000,126.9209333000
평택시,현화고교사거리,Hyeonhwa High School Sageori,214001425,48452,노변정류장,경기도 평택시,경기도 평택시 안중읍,36.9795000000,126.9219000000
평택시,현화리,Hyeonhwa-ri,214000209,15132,노변정류장,경기도 평택시,경기도 평택시 안중읍,36.9891667000,126.9166167000
평택시,현화중학교,Hyeonhwa Middle School,214000112,15145,노변정류장,경기도 평택시,경기도 평택시 안중읍,36.9824833000,126.9208500000
평택시,협동화산업공단,Cooperative Industrial Complex,214001883,48866,노변정류장,경기도 평택시,경기도 평택시 진위면,37.1183667000,127.0828000000
평택시,호야전자,Hoya Electronics Korea,214001490,48623,노변정류장,경기도 평택시,경기도 평택시 청북면,37.0340500000,126.9429000000
평택시,호야전자,Hoya Electronics Korea,214001489,48622,노변정류장,경기도 평택시,경기도 평택시 청북면,37.0342500000,126.9432833000
평택시,홍원1리,Hongwon 1-ri ,214000076,15089,노변정류장,경기도 평택시,경기도 평택시 포승읍,37.0081833000,126.8927167000
평택시,홍원1리,Hongwon 1-ri ,214000972,15087,노변정류장,경기도 평택시,경기도 평택시 포승읍,37.0079667000,126.8928667000
평택시,홍원1지구(경유),,277101887,,,,,37.0131333000,126.8602667000
평택시,홍원1지구(종점),Hongwon 1-jigu ,214000986,48335,노변정류장,경기도 평택시,경기도 평택시 포승읍,37.0129833000,126.8559667000
평택시,홍원2지구,Hongwon 2-jigu,214000984,48038,노변정류장,경기도 평택시,경기도 평택시 포승읍,37.0125500000,126.8651000000
평택시,홍원2지구,Hongwon 2-jigu,214000985,48065,노변정류장,경기도 평택시,경기도 평택시 포승읍,37.0125000000,126.8651000000
평택시,홍원3리,Hongwon 3-ri ,214000982,15048,노변정류장,경기도 평택시,경기도 평택시 포승읍,37.0166500000,126.8678500000
평택시,홍원3리,Hongwon 3-ri,214000028,15049,노변정류장,경기도 평택시,경기도 평택시 포승읍,37.0167667000,126.8679000000
평택시,홍원3지구,Hongwon 3-jigu,214000998,48145,노변정류장,경기도 평택시,경기도 평택시 포승읍,37.0107833000,126.8667833000
